Component,Name/Spec,Qty,Price per unit( In INR),Price in INR,Price in USD,,,,
Flight Controller,SpeedyBee F405,1,"7,364.00","7,364.00", $86.13 ,,,,
ESC,35A ESCs,3,732,"2,196.00", $25.68 ,,,,USD TO INR(AS PER 5TH JULY 2025)
Motor,T-Motor Brushless Motor,3,675,"2,025.00", $23.68 ,,,, ? 85.50 
Battery,4S LiPo Battery,1,"2,404.00","2,404.00", $28.12 ,,,,
Propeller,"6x5"" propellers",3,398,"1,194.00", $13.96 ,,,,
GPS,GPS Module ,1,"1,964.00","1,964.00", $22.97 ,,,,
VTX,5.8GHz Video Transmitter,1,"3,220.00","3,220.00", $37.66 ,,,,
Camera,FPV Camera,1,"1,403.00","1,403.00", $16.41 ,,,,
Receiver,ELRS Receiver,1,0,0,0,,,,
Transmitter,ELRS Transmitter,1,,,,making it on my own,,,
Goggles,FPV Goggles,1,"4,500.00","4,500.00", $52.63 ,,,,
,,,,, $318.32 ,,,,
